1Q84 BOOK 1,[日] 村上春树 / 施小炜 / 南海出版公司 / 2010-5 / 36.00元,8.3
哈利·波特与死亡圣器,[英] J. K. 罗琳 / 马爱农 / 人民文学出版社 / 2007-10 / 66.00元,9.0
白鹿原,陈忠实 / 人民文学出版社 / 1997-12 / 28.00元,8.7
苏菲的世界,（挪威）乔斯坦·贾德 / 萧宝森 / 作家出版社 / 1999-04 / 26.80元,8.5
无声告白,[美] 伍绮诗 / 孙璐 / 江苏凤凰文艺出版社 / 2015-7 / 35.00元,8.2
向左走·向右走,幾米 / 生活·读书·新知三联书店 / 2002-8 / 16.00元,8.4
天龙八部,金庸 / 生活.读书.新知三联书店 / 1994-5 / 96.0,9.1
茶花女,小仲马 / 王振孙 / 外国文学出版社 / 1997-3 / 9.00元,8.2
了不起的盖茨比,菲茨杰拉德 / 姚乃强 / 人民文学出版社 / 2004-06 / 12.00元,8.4
基督山伯爵,大仲马 / 周克希 / 上海译文出版社 / 1991-12-1 / 43.90元,9.0
一个陌生女人的来信,[奥] 斯台芬·茨威格 / 张玉书 / 上海译文出版社 / 2007-7 / 20.00元,8.7
呼啸山庄,（英）勃朗特 / 张扬 / 人民文学出版社 / 1999-01-01 / 27.30元,8.4
亲爱的安德烈,龙应台 / 人民文学出版社 / 2008-12 / 26.00,8.6
沉默的大多数,王小波 / 中国青年出版社 / 1997-10 / 27.00元,9.1
无人生还,[英] 阿加莎・克里斯蒂 / 祁阿红 / 人民文学出版社 / 2008-3 / 19.00,8.9
东方快车谋杀案,[英] 阿加莎·克里斯蒂 / 陈尧光 / 人民文学出版社 / 2006-5 / 18.00元,9.0
福尔摩斯探案全集（上中下）,[英] 阿·柯南道尔 / 丁钟华 等 / 群众出版社 / 1981-8 / 53.00元/68.00元,9.2
灿烂千阳,[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2007-9 / 28.00元,8.8
笑傲江湖（全四册）,金庸 / 生活·读书·新知三联书店 / 1994-5 / 76.80元,9.0
